"chapter","file","description","lines","has_main"
"cap18","repositorio_competitive/cap18/a3-01-tandem-kayaks.cpp","The Tandem Kayaks","56","yes"
"cap18","repositorio_competitive/cap18/a3-02-fairground-stages.cpp","The Fairground Stages","56","yes"
"cap18","repositorio_competitive/cap18/a3-03-chapel-pews.cpp","The Chapel Pews","53","yes"
"cap18","repositorio_competitive/cap18/a3-04-counting-tape.cpp","The Counting House Tape","77","yes"
"cap18","repositorio_competitive/cap18/a3-05-parade-disorder.cpp","The Parade Disorder","76","yes"
"cap18","repositorio_competitive/cap18/t07-s1-1-hotel-lift.cpp","The Hotel Lift","53","yes"
"cap18","repositorio_competitive/cap18/t07-s2-1-smouldering-meadow.cpp","The Smouldering Meadow","92","yes"
"cap18","repositorio_competitive/cap18/t07-s3-1-tasting-menu.cpp","The Tasting Menu","64","yes"
"cap18","repositorio_competitive/cap18/t07-s3-2-spice-scale.cpp","The Spice Scale","73","yes"
"cap18","repositorio_competitive/cap18/t07-s4-1-sprinkler-garden.cpp","The Sprinkler Garden","76","yes"
"cap18","repositorio_competitive/cap18/t07-s4-2-milk-churns.cpp","The Milk Churns","88","yes"
"cap18","repositorio_competitive/cap18/t07-s4-3-ballast-stones.cpp","The Ballast Stones","80","yes"
"cap18","repositorio_competitive/cap18/t08-s1-1-stepping-stones.cpp","The Stepping Stones","59","yes"
"cap18","repositorio_competitive/cap18/t08-s2-1-peddlers-pack.cpp","The Peddler's Pack","59","yes"
"cap18","repositorio_competitive/cap18/t08-s3-1-tram-fare.cpp","The Tram Fare","70","yes"
"cap18","repositorio_competitive/cap18/t08-s3-2-pearl-strand.cpp","The Pearl Strand","65","yes"
"cap18","repositorio_competitive/cap18/t08-s4-1-notarys-copies.cpp","The Notary's Copies","69","yes"
"cap18","repositorio_competitive/cap18/t08-s4-2-arcade-tokens.cpp","The Arcade Tokens","66","yes"
"cap18","repositorio_competitive/cap18/t08-s4-3-charcoal-heaps.cpp","The Charcoal Heaps","78","yes"
"cap18","repositorio_competitive/cap18/a4-01-parlor-word-chain.cpp","The Parlor Word Chain","94","yes"
"cap18","repositorio_competitive/cap18/a4-02-cloister-tiles.cpp","The Cloister Tiles","69","yes"
"cap18","repositorio_competitive/cap18/a4-03-bindery-shifts.cpp","The Bindery Shifts","84","yes"
"cap18","repositorio_competitive/cap18/a4-04-cellar-log.cpp","The Cellar Log","75","yes"
"cap18","repositorio_competitive/cap18/a4-05-auction-paddles.cpp","The Auction Paddles","111","yes"
"cap18","repositorio_competitive/cap18/a4-06-mine-galleries.cpp","The Mine Galleries","104","yes"
"cap18","repositorio_competitive/cap18/t09-s1-1-postmans-districts.cpp","The Postman's Districts","76","yes"
"cap18","repositorio_competitive/cap18/t09-s2-1-stagecoach-lines.cpp","The Stagecoach Lines","86","yes"
